,nneg,npos,FIPS,acteur,langue,mois,SHORT_NAME,tot_art
0,1,1,IT,REF,sqi,1,Italy,1
1,0,2,IT,SPY,eng,2,Italy,2
2,0,1,IT,ITACOP,spa,2,Italy,1
3,0,1,IT,CHR,spa,1,Italy,1
4,0,2,IT,REBEDU,ita,1,Italy,2
5,0,1,IT,AFGINSTALMED,eng,3,Italy,1
6,0,1,IT,UAF,eng,1,Italy,1
7,1,1,IT,RELREL,ita,2,Italy,1
8,0,1,IT,GOVGOV,hin,1,Italy,1
9,0,1,IT,GOVGOV,ita,1,Italy,1
10,4,1,IT,SIKCVL,pan,2,Italy,1
11,0,1,IT,GOVGOV,eng,1,Italy,1
12,0,1,IT,BLR,eng,1,Italy,1
13,0,1,IT,COP,nor,1,Italy,1
14,0,1,IT,AUT,slv,2,Italy,1
15,0,1,IT,MDG,srp,1,Italy,1
16,0,1,IT,ARECOP,ara,1,Italy,1
17,0,1,IT,LEG,pol,1,Italy,1
18,0,1,IT,CHE,deu,1,Italy,1
19,0,1,IT,EGYMOS,ara,1,Italy,1
20,0,1,IT,srp,bos,1,Italy,1
21,0,1,IT,ARGMED,spa,1,Italy,1
22,0,1,IT,NAMJUD,eng,1,Italy,1
23,0,2,IT,USA,ron,1,Italy,2
24,0,1,IT,LEGJUD,eng,1,Italy,1
25,0,1,IT,HINDEN112,srp,1,Italy,1
26,0,1,IT,ITACVL,fra,1,Italy,1
27,0,1,IT,per,por,1,Italy,1
28,1,1,IT,GOV,mar,1,Italy,1
29,0,1,IT,JPN,ell,5,Italy,1
30,1,1,IT,ITACRM,ita,1,Italy,1
31,0,2,IT,ITAREL,pol,1,Italy,2
32,0,1,IT,UKR,srp,4,Italy,1
33,0,1,IT,BMU,eng,1,Italy,1
34,0,2,IT,ESP,sqi,1,Italy,2
35,0,3,IT,GRC,ita,1,Italy,3
36,0,1,IT,LEGGOV,spa,4,Italy,1
37,1,1,IT,ZMB,eng,1,Italy,1
38,0,2,IT,PER,ita,1,Italy,2
39,0,1,IT,ITACOP,deu,1,Italy,1
40,0,1,IT,don,eng,1,Italy,1
41,1,1,IT,NGOBUSWEF,rus,5,Italy,1
42,0,1,IT,DZA,ara,1,Italy,1
43,0,1,IT,PTY,dan,1,Italy,1
44,0,2,IT,PRK,bul,3,Italy,2
45,0,3,IT,STP,eng,1,Italy,3
46,0,1,IT,JEWGOV,ita,1,Italy,1
47,0,1,IT,TUR,sqi,1,Italy,1
48,0,2,IT,BUS,mar,1,Italy,2
49,0,1,IT,LEG,fra,1,Italy,1
50,0,3,IT,JUD,deu,1,Italy,3
51,0,1,IT,ITAGOV,axe,1,Italy,1
52,8,3,IT,BELGOV,eng,1,Italy,3
53,2,13,IT,MAR,ita,1,Italy,13
54,0,1,IT,EURBUS,sqi,1,Italy,1
55,0,2,IT,CHR,ron,1,Italy,2
56,1,1,IT,MNCFRA,fra,1,Italy,1
57,0,1,IT,BUS,kor,1,Italy,1
58,1,1,IT,GOVBUS,ita,1,Italy,1
59,1,1,IT,NLD,por,1,Italy,1
60,0,1,IT,FRA,rus,1,Italy,1
